Provider,PotentialFraud,Inpatient_BeneID_nunique,Inpatient_ClaimID_count,Inpatient_InscClaimAmtReimbursed_sum,Inpatient_InscClaimAmtReimbursed_mean,Inpatient_InscClaimAmtReimbursed_max,Inpatient_Total_Procedures_sum,Inpatient_Total_Procedures_mean,Inpatient_Total_Procedures_max,Inpatient_AttendingPhysician_nunique,Inpatient_OperatingPhysician_nunique,Outpatient_BeneID_nunique,Outpatient_ClaimID_count,Outpatient_InscClaimAmtReimbursed_sum,Outpatient_InscClaimAmtReimbursed_mean,Outpatient_InscClaimAmtReimbursed_max,Outpatient_Total_Procedures_sum,Outpatient_Total_Procedures_mean,Outpatient_Total_Procedures_max,Outpatient_AttendingPhysician_nunique,Outpatient_OperatingPhysician_nunique,Bene_Age,Bene_ChronicCond_Alzheimer,Bene_ChronicCond_Heartfailure,Bene_ChronicCond_Cancer,Bene_ChronicCond_Diabetes,Bene_ChronicCond_KidneyDisease,Bene_ChronicCond_ObstrPulmonary,Bene_ChronicCond_Depression,Bene_ChronicCond_IschemicHeart,Bene_ChronicCond_Osteoporasis,Bene_ChronicCond_rheumatoidarthritis,Bene_ChronicCond_stroke
PRV51001,No,5.0,5.0,97000.0,19400.0,42000.0,3.0,0.6,2.0,4.0,2.0,19.0,20.0,7640.0,382.0,1500.0,0.0,0.0,0.0,10.0,3.0,94.125,1.4166666666666667,1.25,1.7916666666666667,1.1666666666666667,1.2916666666666667,1.625,1.625,1.0833333333333333,1.75,1.6666666666666667,1.7916666666666667
PRV51003,Yes,53.0,62.0,573000.0,9241.935483870968,57000.0,48.0,0.7741935483870968,2.0,2.0,2.0,66.0,70.0,32670.0,466.7142857142857,3300.0,0.0,0.0,0.0,44.0,5.0,84.95726495726495,1.623931623931624,1.4017094017094016,1.9145299145299146,1.2564102564102564,1.5555555555555556,1.7179487179487178,1.5982905982905984,1.1538461538461537,1.7606837606837606,1.7264957264957266,1.9230769230769231
PRV51004,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,149.0,52170.0,350.13422818791946,3300.0,0.0,0.0,0.0,38.0,19.0,88.48550724637681,1.565217391304348,1.4057971014492754,1.8840579710144927,1.3043478260869565,1.6594202898550725,1.7318840579710144,1.565217391304348,1.289855072463768,1.6884057971014492,1.7028985507246377,1.8840579710144927
PRV51005,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,1165.0,280910.0,241.1244635193133,4080.0,0.0,0.0,0.0,6.0,6.0,85.98787878787878,1.6666666666666667,1.4686868686868686,1.8808080808080807,1.3656565656565656,1.6404040404040403,1.7878787878787878,1.6282828282828283,1.298989898989899,1.713131313131313,1.7434343434343433,1.9212121212121211
PRV51007,No,3.0,3.0,19000.0,6333.333333333333,10000.0,1.0,0.3333333333333333,1.0,2.0,1.0,56.0,69.0,14710.0,213.18840579710144,3300.0,0.0,0.0,0.0,8.0,4.0,83.98275862068965,1.6379310344827587,1.4827586206896552,1.896551724137931,1.3793103448275863,1.706896551724138,1.793103448275862,1.6379310344827587,1.3103448275862069,1.706896551724138,1.7241379310344827,1.8448275862068966
PRV51008,No,2.0,2.0,25000.0,12500.0,21000.0,2.0,1.0,1.0,2.0,2.0,34.0,41.0,10630.0,259.2682926829268,1900.0,0.0,0.0,0.0,8.0,3.0,90.66666666666667,1.6111111111111112,1.4166666666666667,1.7777777777777777,1.3055555555555556,1.6388888888888888,1.7777777777777777,1.7222222222222223,1.1944444444444444,1.6944444444444444,1.8333333333333333,1.9444444444444444
PRV51011,No,1.0,1.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,1.0,0.0,52.0,57.0,11630.0,204.03508771929825,1600.0,0.0,0.0,0.0,27.0,10.0,89.16981132075472,1.5660377358490567,1.3584905660377358,1.9245283018867925,1.3018867924528301,1.5849056603773586,1.6603773584905661,1.490566037735849,1.2264150943396226,1.6603773584905661,1.7358490566037736,1.9622641509433962
PRV51012,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,48.0,16890.0,351.875,3300.0,0.0,0.0,0.0,14.0,3.0,91.54838709677419,1.6774193548387097,1.4516129032258065,1.903225806451613,1.3870967741935485,1.5806451612903225,1.6129032258064515,1.6774193548387097,1.2580645161290323,1.5806451612903225,1.5806451612903225,1.903225806451613
PRV51013,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,46.0,14880.0,323.4782608695652,1800.0,0.0,0.0,0.0,9.0,5.0,90.0909090909091,1.6590909090909092,1.4318181818181819,1.9090909090909092,1.1818181818181819,1.6136363636363635,1.6363636363636365,1.6136363636363635,1.2272727272727273,1.75,1.6363636363636365,1.9545454545454546
PRV51014,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,30.0,10480.0,349.3333333333333,3300.0,0.0,0.0,0.0,7.0,6.0,87.84,1.56,1.48,1.92,1.4,1.52,1.72,1.72,1.32,1.84,1.64,1.88
